size	name	format	file	total	CJK	其他字符	规范一二级	规范繁简	GBT2312	GBT12345	GBK	古籍	Big5常用	Big5完整
14423548	Chiron Hei HK	ttf	*港台繁体/昭源黑體 ChironHeiHK-R.ttf	47668	32095	15573	6500	10666	6763	6866	21003	13598	5401	13060
24237112	Sarasa Gothic TC	ttf	*港台繁体/更纱黑体 SarasaGothicTC-Regular.ttf	46272	30320	15952	6500	10666	6763	6866	21003	13424	5401	13060
16226288	GenYoMin2 TC R	otf	*港台繁体/源樣明體 GenYoMin2TC-R.otf	35349	30355	4994	6500	10666	6763	6866	21003	13428	5401	13060
10759512	GenYoGothic2 TC R	otf	*港台繁体/源樣黑體 GenYoGothic2TC-R.otf	35382	30388	4994	6500	10666	6763	6866	21003	13433	5401	13060
6396120	自由香港楷書	ttf	*港台繁体/自由香港楷書 Free-HK-Kai_4700.ttf	14093	4820	9273	3051	4523	3069	4507	4819	4633	4760	4770
3869512	HONOR Sans TC Regular	ttf	*港台繁体/荣耀 HONORSansTC-Regular.ttf	14331	13497	832	4263	7512	4386	6408	13079	10825	5401	13060
10065280	華康古籍銀杏W3	ttc	*港台繁体/華康古籍銀杏W3.ttc	14580	13744	836	4373	7682	4518	6540	13721	11087	5401	13060
11233676	華康正顏楷體W7	ttc	*港台繁体/華康正顏楷體W7.ttc	14588	13752	836	4374	7684	4519	6541	13729	11090	5401	13060
5575756	MHeiHK-Medium	ttf	*港台繁体/蒙纳 MHei HK Medium.ttf	34453	17721	10903	4663	8172	4854	6781	15296	11679	5401	13060
15830064	MKai HK Medium	ttf	*港台繁体/蒙纳 MKai HK Medium.ttf	22084	15950	1253	4662	8169	4854	6781	15358	11666	5401	13060
12714308	MSung HK Medium	ttf	*港台繁体/蒙纳 MSung HK Medium.ttf	22013	15902	1250	4662	8164	4854	6781	15327	11657	5401	13060
5629236	阿里巴巴普惠體 HK 55 Regular	ttf	*港台繁体/阿里巴巴普惠体 AlibabaSansHK-55.ttf	19181	17668	1501	4672	8198	4863	6794	15373	11733	5401	13060
5629268	阿里巴巴普惠體 TC 55 Regular	ttf	*港台繁体/阿里巴巴普惠体 AlibabaSansTC-55.ttf	19181	17668	1501	4672	8198	4863	6794	15373	11733	5401	13060
1090444	上海摩登体	otf	*补充字体/上海摩登体.otf	7163	6904	259	6313	6651	6763	4687	6849	4466	3334	4418
2783512	临海体 Regular	ttf	*补充字体/乡立方临海隶书.ttf	9311	9169	142	6344	8815	6763	6799	9169	6533	4885	6540
3177928	乡立方黑体	ttf	*补充字体/乡立方黑体.ttf	6617	6516	101	6500	6508	6324	4383	6512	4306	3314	4272
18841176	Sotyr Fangsong Regular	ttf	*补充字体/仲春仿宋.ttf	14055	12894	1088	4052	6847	4166	6000	10283	9350	5084	8818
1723416	YouSheBiaoTiYuan	otf	*补充字体/优设标题圆.otf	7178	6764	413	6310	6641	6763	4685	6763	4422	3328	4384
