Author	Type	Font	URL	Language	Related
碧海潮声	黑体	修正版微软雅黑	https://bbs.pcbeta.com/viewthread-1960120-1-1.html	中文	微软雅黑等
自由香港字型	楷书	自由香港楷書	https://freehkfonts.opensource.hk/download/	繁體中文（香港）	繁體中文
LXGW	【手写】	Xiaolai Font (小赖字体)	https://github.com/lxgw/kose-font	简体中文	濑户字体
LXGW	【手写】	Yozai Font (悠哉字体)	https://github.com/lxgw/yozai-font	中文	Y.OzFont
LXGW	宋体	LXGW Neo ZhiSong (霞鹜新致宋)	https://github.com/lxgw/LxgwNeoZhiSong	中文	IPAmj明朝フォント
LXGW	宋体	LXGW ZhiSong (霞鹜致宋)	https://github.com/lxgw/LxgwZhiSong	中文	IPAmj明朝フォント
LXGW	楷体	Fusion Kai (缝合楷)	https://github.com/lxgw/FusionKai	中日文	Klee One
LXGW	楷体	LXGW WenKai GB (霞鹜文楷 GB)	https://github.com/lxgw/LxgwWenkaiGB	简体中文	Klee One
LXGW	楷体	LXGW WenKai TC (霞鶩文楷 TC)	https://github.com/lxgw/LxgwWenkaiTC	繁體中文	Klee One
LXGW	楷体	LXGW ZhenKai (霞鹜臻楷)	https://github.com/lxgw/LxgwZhenKai	简体中文	霞鹜文楷
LXGW	楷体	LxgwWenKai (霞鹜文楷)	https://github.com/lxgw/LxgwWenKai	中文	Klee One
LXGW	黑体	LXGW Marker Gothic (霞鹜漫黑)	https://github.com/lxgw/LxgwMarkerGothic	中文	たぬゴ（Tanugo）
LXGW	黑体	LXGW Neo XiHei (霞鹜新晰黑)	https://github.com/lxgw/LxgwNeoXiHei	中文	IPAexゴシック
LXGW	黑体	LXGW XiHei (霞鹜晰黑)	https://github.com/lxgw/LxgwXiHei	中文	IPAexゴシック
mant0u0	黑体	饅頭黑體	https://github.com/mant0u0/MantouSans/	繁體中文	基於字型 デラゴシック (Dela Gothic One)
蓝色共鸣	宋体	中华薪火体	https://www.bilibili.com/video/BV12WnyzTENN/	中文	
郑庆科	宋体	南北词宫谱宋体 	https://mp.weixin.qq.com/s/ZEkiL0TVbrtl_llPSEBPeg	中文	
魏安（Andrew Christopher West）	宋体	BabelStone Fonts	https://www.babelstone.co.uk/Fonts/Han.html	中文	
黄令東	宋体	Qiji-font (齊伋體)	https://github.com/LingDong-/qiji-font	中文	
黄煜臣	楷体	江西拙楷	https://www.zcool.com.cn/work/ZNDE4MzY4Mjg=.html	中文	
鼎猎视界	宋体	鼎猎宋刻体	https://mp.weixin.qq.com/s/1AQutMSG2RL4IkhUtfDL7A	中文	
龚帆	【多种】	龚帆字库	https://www.gongfanzk.cn	中文	
chncwk	宋体	屏显臻宋	https://bbs.kafan.cn/thread-2173271-1-1.html	中文	
