name	format	file	total	cjk	pua	extra	CJK Basic	CJK Ext-A	CJK Ext-B	CJK Ext-C	CJK Ext-D	CJK Ext-E	CJK Ext-F	CJK Ext-G	CJK Ext-H	CJK Ext-I	CJK Comp	PUA-BMP	PUA-SMP1	PUA-SMP2
方正兰亭黑Pro Global Bold	ttf	方正/方正兰亭黑Pro/方正兰亭黑Pro Global.ttf	29653	27505	112	2036	20902	6582	0	0	0	0	0	0	0	0	21	112	0	0
FZLanTingHeiPro_GB18030 Regular	ttf	方正/方正兰亭黑Pro/方正兰亭黑Pro_GB18030.ttf	44604	27784	4699	12121	20991	6582	0	0	0	0	0	0	0	0	211	4699	0	0
方正北魏楷书_GBK	ttf	方正/方正北魏楷书/方正北魏楷书_GBK.ttf	22001	20923	106	972	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正北魏楷书简体	ttf	方正/方正北魏楷书/方正北魏楷书简体.ttf	8112	6763	522	827	6763	0	0	0	0	0	0	0	0	0	0	522	0	0
方正北魏楷书繁体	ttf	方正/方正北魏楷书/方正北魏楷书繁体.ttf	7822	6763	232	827	6763	0	0	0	0	0	0	0	0	0	0	232	0	0
方正大标宋_GBK	ttf	方正/方正大标宋/方正大标宋_GBK.ttf	16810	15797	33	980	15794	0	0	0	0	0	0	0	0	0	3	33	0	0
方正大标宋简体	ttf	方正/方正大标宋/方正大标宋简体.ttf	8112	6763	522	827	6763	0	0	0	0	0	0	0	0	0	0	522	0	0
方正大标宋简繁	ttf	方正/方正大标宋/方正大标宋简繁.ttf	16810	15797	33	980	15794	0	0	0	0	0	0	0	0	0	3	33	0	0
方正大标宋繁体	ttf	方正/方正大标宋/方正大标宋繁体.ttf	7822	6763	232	827	6763	0	0	0	0	0	0	0	0	0	0	232	0	0
方正小标宋简体	ttf	方正/方正小标宋/方正小标宋W.ttf	7709	6763	128	818	6763	0	0	0	0	0	0	0	0	0	0	128	0	0
方正小标宋_GBK	ttf	方正/方正小标宋/方正小标宋_GBK.ttf	21999	20923	105	971	20902	0	0	0	0	0	0	0	0	0	21	105	0	0
方正小标宋简体	ttf	方正/方正小标宋/方正小标宋简体.ttf	8112	6763	522	827	6763	0	0	0	0	0	0	0	0	0	0	522	0	0
方正小标宋繁体	ttf	方正/方正小标宋/方正小标宋繁体.ttf	7822	6763	232	827	6763	0	0	0	0	0	0	0	0	0	0	232	0	0
FZYouSong GBK 503L	ttf	方正/方正悠宋/方正悠宋 GBK 503L.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouSong GBK 504L	ttf	方正/方正悠宋/方正悠宋 GBK 504L.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouSong GBK 505L	ttf	方正/方正悠宋/方正悠宋 GBK 505L.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouSong GBK 506L	ttf	方正/方正悠宋/方正悠宋 GBK 506L.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouSong GBK 507R	ttf	方正/方正悠宋/方正悠宋 GBK 507R.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouSong GBK 508R	ttf	方正/方正悠宋/方正悠宋 GBK 508R.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouSong GBK 509R	ttf	方正/方正悠宋/方正悠宋 GBK 509R.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouSongJ GBK 503L	ttf	方正/方正悠宋/方正悠宋+ GBK 503L.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouSongJ GBK 504L	ttf	方正/方正悠宋/方正悠宋+ GBK 504L.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouSongJ GBK 505L	ttf	方正/方正悠宋/方正悠宋+ GBK 505L.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouSongJ GBK 506L	ttf	方正/方正悠宋/方正悠宋+ GBK 506L.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouSongJ GBK 507R	ttf	方正/方正悠宋/方正悠宋+ GBK 507R.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouSongJ GBK 508R	ttf	方正/方正悠宋/方正悠宋+ GBK 508R.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouSongJ GBK 509R	ttf	方正/方正悠宋/方正悠宋+ GBK 509R.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouH_GBK 503L	ttf	方正/方正悠黑/方正悠黑_GBK 503L.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouH_GBK 504L	ttf	方正/方正悠黑/方正悠黑_GBK 504L.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouH_GBK 505L	ttf	方正/方正悠黑/方正悠黑_GBK 505L.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouH_GBK 506L	ttf	方正/方正悠黑/方正悠黑_GBK 506L.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouH_GBK 508R	ttf	方正/方正悠黑/方正悠黑_GBK 508R.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouH_GBK 509R	ttf	方正/方正悠黑/方正悠黑_GBK 509R.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouH_GBK 510M	ttf	方正/方正悠黑/方正悠黑_GBK 510M.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouH_GBK 511M	ttf	方正/方正悠黑/方正悠黑_GBK 511M.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouH_GBK 512B	ttf	方正/方正悠黑/方正悠黑_GBK 512B.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
FZYouH_GBK 513B	ttf	方正/方正悠黑/方正悠黑_GBK 513B.ttf	22002	20923	106	973	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正悠黑简可变 重 宽 高 1	ttf	方正/方正悠黑/方正悠黑简可变.ttf	8104	7154	129	821	7106	16	32	0	0	0	0	0	0	0	0	129	0	0
方正新书宋_GBK	ttf	方正/方正新书宋/方正新书宋_GBK.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正新书宋简体	ttf	方正/方正新书宋/方正新书宋简体.ttf	8112	6763	522	827	6763	0	0	0	0	0	0	0	0	0	0	522	0	0
方正新书宋繁体	ttf	方正/方正新书宋/方正新书宋繁体.ttf	7814	6763	232	819	6763	0	0	0	0	0	0	0	0	0	0	232	0	0
方正新报宋_GBK	ttf	方正/方正新报宋/方正新报宋_GBK.ttf	8285	7272	33	980	7270	0	0	0	0	0	0	0	0	0	2	33	0	0
方正新报宋简体	ttf	方正/方正新报宋/方正新报宋简体.ttf	8112	6763	522	827	6763	0	0	0	0	0	0	0	0	0	0	522	0	0
FZJNewBaoSong-Z12	ttf	方正/方正新报宋/方正新报宋繁.ttf	8213	7396	272	545	7395	0	0	0	0	0	0	0	0	0	1	272	0	0
FZXiuLiB-Z13	ttf	方正/方正新秀丽/方正新秀丽简体.ttf	14331	13088	366	877	13068	4	14	0	0	0	0	0	0	0	2	366	0	0
方正新秀丽繁体	ttf	方正/方正新秀丽/方正新秀丽繁体.ttf	7822	6763	232	827	6763	0	0	0	0	0	0	0	0	0	0	232	0	0
方正楷体_GBK	ttf	方正/方正楷体/方正楷体_GBK.ttf	21999	20923	105	971	20902	0	0	0	0	0	0	0	0	0	21	105	0	0
方正楷体简体	ttf	方正/方正楷体/方正楷体简体.ttf	8112	6763	522	827	6763	0	0	0	0	0	0	0	0	0	0	522	0	0
方正楷体繁体	ttf	方正/方正楷体/方正楷体繁体.ttf	7812	6763	231	818	6763	0	0	0	0	0	0	0	0	0	0	231	0	0
FZQingKeBenYueSongS B	ttf	方正/方正清刻本悦宋/方正清刻本悦宋简B.ttf	8765	7422	522	821	7374	16	32	0	0	0	0	0	0	0	0	522	0	0
方正清刻本悦宋简体	ttf	方正/方正清刻本悦宋/方正清刻本悦宋简体.ttf	8509	7159	529	821	7111	16	32	0	0	0	0	0	0	0	0	529	0	0
方正清刻本悦宋 简繁	ttf	方正/方正清刻本悦宋/方正清刻本悦宋简繁.ttf	10622	9616	33	973	9616	0	0	0	0	0	0	0	0	0	0	33	0	0
方正粗金陵简体	ttf	方正/方正金陵/方正粗金陵简体.ttf	8112	6763	522	827	6763	0	0	0	0	0	0	0	0	0	0	522	0	0
方正粗金陵繁体	ttf	方正/方正金陵/方正粗金陵繁体.ttf	7822	6763	232	827	6763	0	0	0	0	0	0	0	0	0	0	232	0	0
方正细金陵简体	ttf	方正/方正金陵/方正细金陵简体.ttf	8112	6763	522	827	6763	0	0	0	0	0	0	0	0	0	0	522	0	0
方正黑体_GBK	ttf	方正/方正黑体/方正黑体_GBK.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正黑体简体	ttf	方正/方正黑体/方正黑体简体.ttf	8097	6763	507	827	6763	0	0	0	0	0	0	0	0	0	0	507	0	0
方正黑体繁体	ttf	方正/方正黑体/方正黑体繁体.ttf	7807	6763	217	827	6763	0	0	0	0	0	0	0	0	0	0	217	0	0
方正剪纸_GBK	ttf	方正/更多其他/方正剪纸_GBK.ttf	10674	9661	33	980	9658	0	0	0	0	0	0	0	0	0	3	33	0	0
方正卡通_GBK	ttf	方正/更多其他/方正卡通_GBK.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正启体_GBK	ttf	方正/更多其他/方正启体_GBK.ttf	10648	9635	33	980	9632	0	0	0	0	0	0	0	0	0	3	33	0	0
方正喵呜_GBK	ttf	方正/更多其他/方正喵呜_GBK.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正小篆体_GBK	ttf	方正/更多其他/方正小篆体_GBK.ttf	8342	7337	26	979	7334	0	0	0	0	0	0	0	0	0	3	26	0	0
方正少儿_GBK	ttf	方正/更多其他/方正少儿_GBK.ttf	10647	9634	33	980	9631	0	0	0	0	0	0	0	0	0	3	33	0	0
方正平和_GBK	ttf	方正/更多其他/方正平和_GBK.ttf	10647	9634	33	980	9631	0	0	0	0	0	0	0	0	0	3	33	0	0
方正幼线_GBK	ttf	方正/更多其他/方正幼线_GBK.ttf	12089	11076	33	980	11073	0	0	0	0	0	0	0	0	0	3	33	0	0
方正康体_GBK	ttf	方正/更多其他/方正康体_GBK.ttf	10650	9637	33	980	9634	0	0	0	0	0	0	0	0	0	3	33	0	0
方正彩云_GBK	ttf	方正/更多其他/方正彩云_GBK.ttf	10958	9945	33	980	9942	0	0	0	0	0	0	0	0	0	3	33	0	0
方正有猫在_GBK	ttf	方正/更多其他/方正有猫在_GBK.ttf	22077	20923	109	1045	20902	0	0	0	0	0	0	0	0	0	21	109	0	0
方正水柱_GBK	ttf	方正/更多其他/方正水柱_GBK.ttf	10897	9884	33	980	9881	0	0	0	0	0	0	0	0	0	3	33	0	0
方正流行体_GBK	ttf	方正/更多其他/方正流行体_GBK.ttf	10647	9634	33	980	9631	0	0	0	0	0	0	0	0	0	3	33	0	0
方正琥珀_GBK	ttf	方正/更多其他/方正琥珀_GBK.ttf	10999	9986	33	980	9983	0	0	0	0	0	0	0	0	0	3	33	0	0
方正瘦金书_GBK	ttf	方正/更多其他/方正瘦金书_GBK.ttf	10612	9599	33	980	9596	0	0	0	0	0	0	0	0	0	3	33	0	0
方正硬笔楷书_GBK	ttf	方正/更多其他/方正硬笔楷书_GBK.ttf	22009	20923	106	980	20902	0	0	0	0	0	0	0	0	0	21	106	0	0
方正硬笔行书_GBK	ttf	方正/更多其他/方正硬笔行书_GBK.ttf	10647	9634	33	980	9631	0	0	0	0	0	0	0	0	0	3	33	0	0
方正稚艺_GBK	ttf	方正/更多其他/方正稚艺_GBK.ttf	10829	9816	33	980	9813	0	0	0	0	0	0	0	0	0	3	33	0	0
方正粗活意_GBK	ttf	方正/更多其他/方正粗活意_GBK.ttf	10647	9634	33	980	9631	0	0	0	0	0	0	0	0	0	3	33	0	0
方正细珊瑚_GBK	ttf	方正/更多其他/方正细珊瑚_GBK.ttf	10826	9813	33	980	9810	0	0	0	0	0	0	0	0	0	3	33	0	0
方正综艺_GBK	ttf	方正/更多其他/方正综艺_GBK.ttf	11021	10008	33	980	10005	0	0	0	0	0	0	0	0	0	3	33	0	0
